         4990075 function calls (4989149 primitive calls) in 1.924 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     2144    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       11    0.000    0.000    0.593    0.054 threading.py:556(wait)
     1273    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
   141/54    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 {built-in method _heapq.heapify}
      910    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       39    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
      565    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       29    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       48    0.000    0.000    0.000    0.000 random.py:343(choice)
       68    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       19    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       32    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
        7    0.000    0.000    0.000    0.000 enum.py:545(<listcomp>)
      131    0.000    0.000    0.003    0.000 re.py:289(_compile)
      160    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
        8    0.000    0.000    0.000    0.000 util.py:433(_flush_std_streams)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      642    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    58/24    0.000    0.000    0.002    0.000 sre_parse.py:435(_parse_sub)
        8    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
       57    0.000    0.000    0.000    0.000 {built-in method posix.close}
     68/1    0.000    0.000    1.924    1.924 {built-in method builtins.exec}
       91    0.000    0.000    0.047    0.001 <frozen importlib._bootstrap>:558(module_from_spec)
      385    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        8    0.000    0.000    0.000    0.000 pool.py:744(__init__)
       12    0.000    0.000    0.000    0.000 threading.py:228(__init__)
     66/7    0.000    0.000    0.078    0.011 <frozen importlib._bootstrap_external>:844(exec_module)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
    54/43    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      224    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x10274edc0}
       66    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       12    0.000    0.000    0.001    0.000 resource_tracker.py:153(_send)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       48    0.000    0.000    0.000    0.000 random.py:237(_randbelow_with_getrandbits)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 threading.py:216(Condition)
     1024    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 threading.py:795(__init__)
        7    0.000    0.000    0.593    0.085 threading.py:280(wait)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.005    0.005 pool.py:677(_terminate_pool)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
       24    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       48    0.000    0.000    0.002    0.000 popen_fork.py:24(poll)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
       16    0.000    0.000    0.000    0.000 queues.py:356(__getstate__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
       24    0.000    0.000    0.003    0.000 sre_compile.py:759(compile)
      331    0.000    0.000    0.000    0.000 types.py:171(__get__)
      123    0.000    0.000    0.001    0.000 enum.py:358(__call__)
      116    0.000    0.000    0.000    0.000 enum.py:670(__new__)
       25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
        9    0.000    0.000    0.000    0.000 os.py:804(fsencode)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
        3    0.000    0.000    0.019    0.006 queues.py:340(__init__)
        1    0.000    0.000    0.000    0.000 tokenizer_impl.py:60(<dictcomp>)
        1    0.000    0.000    0.000    0.000 subprocess.py:700(Popen)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       97    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
       35    0.000    0.000    0.000    0.000 {built-in method posix.write}
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.001    0.001 configparser.py:560(RawConfigParser)
        1    0.000    0.000    0.000    0.000 queue.py:223(PriorityQueue)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        8    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
       32    0.000    0.000    0.000    0.000 connection.py:972(reduce_connection)
        2    0.000    0.000    0.000    0.000 signal.py:58(pthread_sigmask)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      262    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        6    0.000    0.000    0.019    0.003 context.py:65(Lock)
      126    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       22    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
    131/8    0.000    0.000    0.074    0.009 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       16    0.000    0.000    0.001    0.000 reduction.py:58(dump)
      295    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      511    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        8    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
        8    0.000    0.000    0.000    0.000 pool.py:179(Process)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
      511    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       16    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       24    0.000    0.000    0.002    0.000 sre_parse.py:937(parse)
      326    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      263    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        8    0.000    0.000    0.000    0.000 context.py:249(get_start_method)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        7    0.000    0.000    0.001    0.000 enum.py:475(_create_)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      104    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       16    0.000    0.000    0.000    0.000 process.py:344(__reduce__)
      126    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      265    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       28    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      224    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       36    0.000    0.000    0.000    0.000 enum.py:977(__and__)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      154    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       22    0.000    0.000    0.046    0.002 <frozen importlib._bootstrap_external>:1171(create_module)
       67    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        6    0.000    0.000    0.000    0.000 tempfile.py:145(__next__)
       65    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        6    0.000    0.000    0.000    0.000 weakref.py:162(__setitem__)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
    33/23    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pool.py:450(apply_async)
       43    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       23    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
        8    0.000    0.000    0.000    0.000 spawn.py:132(_check_not_importing_main)
      126    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.001    0.001 process.py:10(<module>)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       17    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       39    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      152    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 quoprimime.py:5(<module>)
        8    0.000    0.000    0.000    0.000 spawn.py:78(get_command_line)
      106    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       32    0.000    0.000    0.000    0.000 reduction.py:191(DupFd)
        1    0.000    0.000    0.060    0.060 context.py:115(Pool)
      112    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      117    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       15    0.000    0.000    0.005    0.000 util.py:205(__call__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       16    0.000    0.000    0.000    0.000 process.py:189(name)
       20    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      136    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 parse.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       19    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       12    0.000    0.000    0.000    0.000 threading.py:521(__init__)
        1    0.000    0.000    0.000    0.000 regex.py:449(_compile)
       30    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       26    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      131    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      107    0.000    0.000    0.000    0.000 re.py:188(match)
        1    0.000    0.000    0.005    0.005 regex.py:16(<module>)
      200    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.020    0.020 pool.py:342(_setup_queues)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
      137    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       24    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
      242    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.025    0.025 connection.py:10(<module>)
      331    0.000    0.000    0.000    0.000 enum.py:792(value)
        6    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       75    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      157    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
       24    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      357    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      108    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.004    0.004 zipfile.py:1(<module>)
        6    0.000    0.000    0.000    0.000 tempfile.py:134(rng)
        1    0.000    0.000    0.009    0.009 metadata.py:1(<module>)
        9    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        4    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
       26    0.000    0.000    0.000    0.000 util.py:48(debug)
        7    0.000    0.000    0.001    0.000 enum.py:528(_convert_)
      240    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     16/7    0.000    0.000    0.026    0.004 {built-in method builtins.__import__}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        4    0.000    0.000    0.000    0.000 queues.py:370(put)
       25    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        8    0.000    0.000    0.000    0.000 process.py:224(exitcode)
       70    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        2    0.000    0.000    0.000    0.000 signal.py:25(_int_to_enum)
        9    0.000    0.000    0.000    0.000 threading.py:1338(current_thread)
        1    0.000    0.000    0.001    0.001 reduction.py:10(<module>)
        4    0.000    0.000    0.000    0.000 connection.py:186(send_bytes)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       12    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        7    0.000    0.000    0.000    0.000 _regex_core.py:1637(lookup_property)
       21    0.000    0.000    0.000    0.000 enum.py:971(__or__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
       96    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
        1    0.000    0.000    0.009    0.009 tokenizer_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        6    0.000    0.000    0.000    0.000 synchronize.py:84(_cleanup)
        1    0.000    0.000    0.001    0.001 configparser.py:1(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       16    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       97    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        6    0.000    0.000    0.000    0.000 tempfile.py:148(<listcomp>)
       26    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       48    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       18    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
       26    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        8    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.001    0.001 util.py:10(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:985(_stop)
       37    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.003    0.003 context.py:1(<module>)
        8    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        4    0.000    0.000    0.000    0.000 signal.py:61(<genexpr>)
      107    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        8    0.000    0.000    0.001    0.000 popen_fork.py:46(_send_signal)
        1    0.000    0.000    0.001    0.001 popen_spawn_posix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pool.py:668(_help_stuff_finish)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       22    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
      164    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       44    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
       23    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        2    0.000    0.000    0.000    0.000 threading.py:1113(is_alive)
      162    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 threading.py:873(start)
       75    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        9    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        8    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        1    0.000    0.000    0.001    0.001 subprocess.py:10(<module>)
       24    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        6    0.000    0.000    0.018    0.003 synchronize.py:161(__init__)
        7    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
        1    0.000    0.000    0.029    0.029 pool.py:10(<module>)
        8    0.000    0.000    0.000    0.000 pool.py:348(_check_running)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.002    0.001 process.py:142(join)
        1    0.000    0.000    0.006    0.006 utils.py:5(<module>)
       12    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    1.924    1.924 runpy.py:200(run_module)
       48    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       24    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:643(PurePath)
       47    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        5    0.000    0.000    0.000    0.000 threading.py:1059(_wait_for_tstate_lock)
        2    0.000    0.000    0.000    0.000 {built-in method _signal.pthread_sigmask}
        1    0.000    0.000    0.000    0.000 ntpath.py:2(<module>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        8    0.000    0.000    0.001    0.000 popen_fork.py:56(terminate)
        1    0.000    0.000    0.000    0.000 queues.py:10(<module>)
        3    0.000    0.000    0.026    0.009 __init__.py:1(<module>)
        3    0.000    0.000    0.020    0.007 context.py:110(SimpleQueue)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pretokenization_example.py:35(find_chunk_boundaries)
        8    0.000    0.000    0.000    0.000 process.py:153(is_alive)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
        4    0.000    0.000    0.000    0.000 connection.py:395(_send_bytes)
        8    0.000    0.000    0.007    0.001 popen_spawn_posix.py:30(__init__)
       48    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
       82    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       66    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:750(_newname)
       32    0.000    0.000    0.000    0.000 connection.py:173(fileno)
        1    0.000    0.000    0.000    0.000 charset.py:5(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:928(_missing_)
        5    0.000    0.000    0.000    0.000 message.py:462(get)
       30    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        1    0.000    0.000    0.000    0.000 synchronize.py:10(<module>)
       24    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        8    0.000    0.000    0.001    0.000 process.py:128(terminate)
        6    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.016    0.016 resource_tracker.py:18(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method _multiprocessing.sem_unlink}
        1    0.000    0.000    0.003    0.003 pretokenization_example.py:1(<module>)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.009    0.009 pool.py:302(_repopulate_pool)
        8    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
        5    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:2(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
